Employee_ID,Name,Gender,Age,Department,Salary,Hire_Date,Last_Review,Performance_Score,Sick_Days,Left_Company
1001,Patricia Matthews,M,50,Marketing,66457,2015-09-09,2025-05-16,2.7,2,No
1002,Mrs. Alisha Rice,F,22,Marketing,37301,2022-08-05,2025-05-16,4.2,12,No
1003,Jessica Hurst,M,52,Sales,39360,2017-03-30,2025-05-16,3.2,5,No
1004,Kimberly Murphy,M,23,HR,58266,2020-03-25,2025-05-16,3.8,14,No
1005,Christopher Patton MD,F,41,Sales,38243,2016-11-01,2025-05-16,3.6,14,No
1006,Penny Finley MD,F,36,Sales,36937,2022-05-18,2025-05-16,4.9,14,No
1007,Amy Torres,F,51,HR,35131,2022-06-22,2025-05-16,3.7,10,No
1008,Matthew Brown,F,26,Marketing,61547,2015-06-02,2025-05-16,3.5,6,Yes
1009,Christina Best,F,31,Finance,64119,2021-02-16,2025-05-16,3.1,3,No
1010,Richard Williams,F,55,IT,68722,2020-01-09,2025-05-16,2.6,11,Yes
1011,Alexandra Owens,M,22,IT,43792,2023-12-21,2025-05-16,4.7,2,Yes
1012,Kristen Gillespie,M,33,Finance,31166,2023-04-29,2025-05-16,4.1,8,Yes
1013,Samantha Olson,M,33,IT,64809,2016-09-01,2025-05-16,3.9,12,No
1014,Johnathan Rivera,M,27,Finance,40702,2019-10-03,2025-05-16,3.9,4,No
1015,Shane Johnson,F,33,Finance,51705,2022-10-16,2025-05-16,3.5,2,No
1016,Corey Howard,M,32,Sales,48809,2017-01-23,2025-05-16,3.8,15,No
1017,Phillip Lawrence II,F,37,Marketing,39442,2024-04-27,2025-05-16,4.5,3,No
1018,Mr. Daniel Brooks MD,M,23,HR,45925,2022-11-08,2025-05-16,4.8,11,No
1019,Timothy Brown,F,57,Sales,57940,2020-10-06,2025-05-16,3.9,5,No
1020,Christopher Wall,M,52,Marketing,68455,2017-09-11,2025-05-16,3.7,13,No
1021,Deborah Smith,F,58,HR,65875,2019-04-08,2025-05-16,2.7,4,No
1022,Stephanie Dean,F,33,Marketing,69925,2021-09-19,2025-05-16,4.2,8,Yes
1023,Robert Murphy,F,41,HR,52555,2019-02-03,2025-05-16,4.1,13,No
1024,Charles Mcfarland,F,23,HR,43508,2019-06-08,2025-05-16,4.7,9,No
1025,Eric Smith,M,55,Finance,53406,2021-01-17,2025-05-16,3.1,2,Yes
1026,Wendy Hernandez,M,37,Sales,42565,2018-12-14,2025-05-16,4.4,14,No
1027,Molly Norris,M,22,Sales,50163,2016-06-30,2025-05-16,4.6,14,No
1028,Harold Green,F,51,IT,55179,2017-06-11,2025-05-16,5.0,6,No
1029,Mitchell Medina,M,30,Finance,51090,2018-02-06,2025-05-16,4.1,2,No
1030,Kayla Wiley,M,50,HR,33834,2015-09-02,2025-05-16,4.7,4,No
1031,Andrew Thompson,M,47,Finance,32492,2022-06-27,2025-05-16,4.7,5,No
1032,Steven Sanchez,F,52,Sales,50211,2022-02-03,2025-05-16,3.3,14,Yes
1033,Sarah Collins,F,32,Finance,61182,2021-07-21,2025-05-16,4.3,1,No
1034,Ashley Watts,F,40,IT,54273,2022-12-01,2025-05-16,2.5,2,No
1035,Jason Shah,M,26,Sales,58693,2018-04-10,2025-05-16,4.5,11,No
1036,Carmen Foley DDS,M,32,Finance,54043,2022-06-18,2025-05-16,4.6,15,Yes
1037,Thomas Bauer,F,33,Marketing,64406,2023-08-27,2025-05-16,2.7,5,No
1038,Douglas Mendez,M,33,Finance,61568,2023-09-13,2025-05-16,4.6,15,No
1039,Mario Preston,M,53,HR,66105,2022-04-16,2025-05-16,4.6,8,No
1040,Jeremy Mendoza,F,51,Finance,48761,2017-12-26,2025-05-16,3.8,15,No
1041,Elizabeth Morris,M,55,IT,58104,2016-04-15,2025-05-16,4.2,2,No
1042,Rebecca King,F,28,Marketing,43876,2023-05-13,2025-05-16,4.5,14,Yes
1043,Kenneth Middleton,M,28,Finance,66889,2018-10-10,2025-05-16,3.5,10,No
